ko	map	pathway
K00176	map00720	Carbon fixation pathways in prokaryotes
K00177	map00720	Citrate cycle (TCA cycle)
K00179	Unknown	Unknown
K00180	Unknown	Unknown
K00183	Unknown	Unknown
K00184	Unknown	Unknown
K00185	Unknown	Unknown
K00198	map00680	Methane metabolism
K00208	map00061	Fatty acid biosynthesis
K00215	map00300	Lysine biosynthesis
K00219	Unknown	Unknown
K00223	map00100	Steroid biosynthesis
K00224	map00640	Propanoate metabolism
K00226	map00240	Pyrimidine metabolism
K00230	map00860	Porphyrin and chlorophyll metabolism
K00231	map00860	Porphyrin and chlorophyll metabolism
K00234	map05016	Huntington's disease
K00239	map00720	Citrate cycle (TCA cycle)
K00240	map00720	Citrate cycle (TCA cycle)
K00241	map00720	Citrate cycle (TCA cycle)
K00243	Unknown	Unknown
K00244	map02020	Two-component system
K00245	map02020	Two-component system
K00246	map02020	Two-component system
K00248	map00650	Butanoate metabolism
K00251	map00140	Steroid hormone biosynthesis
K00257	map00626	Naphthalene degradation
K00259	map00430	Taurine and hypotaurine metabolism
K00260	map00910	Nitrogen metabolism
K00261	map04964	Proximal tubule bicarbonate reclamation
K00262	map00910	Nitrogen metabolism
K00264	map00910	Nitrogen metabolism
K00265	map00910	Nitrogen metabolism
K00266	map00910	Nitrogen metabolism
K00275	map00750	Vitamin B6 metabolism
K00278	map00760	Nicotinate and nicotinamide metabolism
K00281	map00260	Glycine, serine and threonine metabolism
K00282	map00260	Glycine, serine and threonine metabolism
K00283	map00260	Glycine, serine and threonine metabolism
K00284	map00910	Nitrogen metabolism
K00285	map00910	Nitrogen metabolism
K00286	map00330	Arginine and proline metabolism
K00287	map00790	Folate biosynthesis
K00288	map00670	One carbon pool by folate
K00290	map00310	Lysine degradation
K00293	map00310	Lysine degradation
K00297	map00720	One carbon pool by folate
K00299	map00740	Riboflavin metabolism
K00302	map00260	Glycine, serine and threonine metabolism
K00311	Unknown	Unknown
K00313	Unknown	Unknown
K00317	map00680	Methane metabolism
K00324	map00760	Nicotinate and nicotinamide metabolism
K00325	map00760	Nicotinate and nicotinamide metabolism
K00327	Unknown	Unknown
K00330	map00190	Oxidative phosphorylation
K00331	map00190	Oxidative phosphorylation
K00332	map00190	Oxidative phosphorylation
K00333	map00190	Oxidative phosphorylation
K00334	map00190	Oxidative phosphorylation
K00335	map00190	Oxidative phosphorylation
K00336	map00190	Oxidative phosphorylation
K00337	map00190	Oxidative phosphorylation
K00338	map00190	Oxidative phosphorylation
K00339	map00190	Oxidative phosphorylation
K00340	map00190	Oxidative phosphorylation
K00341	map00190	Oxidative phosphorylation
K00342	map00190	Oxidative phosphorylation
K00343	map00190	Oxidative phosphorylation
K00344	Unknown	Unknown
K00346	Unknown	Unknown
K00347	Unknown	Unknown
K00348	Unknown	Unknown
K00349	Unknown	Unknown
K00350	Unknown	Unknown
K00351	Unknown	Unknown
K00353	Unknown	Unknown
K00355	Unknown	Unknown
K00356	map00190	Oxidative phosphorylation
K00358	Unknown	Unknown
K00359	Unknown	Unknown
K00362	map00910	Nitrogen metabolism
K00364	map00230	Purine metabolism
K00366	map00910	Nitrogen metabolism
K00370	map02020	Two-component system
K00371	map02020	Two-component system
K00374	map02020	Two-component system
K00375	Unknown	Unknown
K00376	map00910	Nitrogen metabolism
K00378	Unknown	Unknown
K00380	map00920	Sulfur metabolism
K00382	map00620	Pyruvate metabolism
K00383	map00480	Glutathione metabolism
K00384	map00450	Selenocompound metabolism
K00385	Unknown	Unknown
K00386	Unknown	Unknown
K00390	map00920	Sulfur metabolism
K00404	map00190	Oxidative phosphorylation
K00412	map05016	Huntington's disease
K00414	map05016	Huntington's disease
K00425	map00190	Oxidative phosphorylation
K00426	map00190	Oxidative phosphorylation
K00432	map00590	Arachidonic acid metabolism
K00433	Unknown	Unknown
K00435	map00860	Porphyrin metabolism
K00436	map00680	Methane metabolism
K00437	Unknown	Unknown
K00459	map00910	Nitrogen metabolism
K00462	map00621	Dioxin degradation
K00463	map05143	African trypanosomiasis
K00471	map00310	Lysine degradation
K00483	map00350	Tyrosine metabolism
K00486	map00380	Tryptophan metabolism
K00492	map00903	Limonene and pinene degradation
K00493	map00627	Aminobenzoate degradation
K00494	Unknown	Unknown
K00507	map03320	PPAR signaling pathway
K00511	map00100	Steroid biosynthesis
K00517	map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K00520	Unknown	Unknown
K00521	Unknown	Unknown
K00525	map00240	Pyrimidine metabolism
K00526	map00240	Pyrimidine metabolism
K00527	map00240	Pyrimidine metabolism
K00528	Unknown	Unknown
K00532	map00680	Unknown
K00533	map00680	Methane metabolism
K00536	map00910	Nitrogen metabolism
K00537	Unknown	Unknown
K00540	Unknown	Unknown
K00547	map00270	Cysteine and methionine metabolism
K00548	map00670	One carbon pool by folate
K00549	map00450	Selenocompound metabolism
K00554	Unknown	Unknown
K00557	Unknown	Unknown
K00558	map00270	Cysteine and methionine metabolism
K00559	map00100	Steroid biosynthesis
K00560	map00670	One carbon pool by folate
K00561	Unknown	Unknown
K00563	Unknown	Unknown
K00564	Unknown	Unknown
K00565	map03015	mRNA surveillance pathway
K00566	map04122	Sulfur relay system
K00567	Unknown	Unknown
K00568	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K00571	Unknown	Unknown
K00574	Unknown	Unknown
K00575	map02030	Bacterial chemotaxis
K00586	Unknown	Unknown
K00588	map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K00589	map00860	Porphyrin and chlorophyll metabolism
K00590	Unknown	Unknown
K00595	map00860	Porphyrin and chlorophyll metabolism
K00600	map00680	Glycine serine and threonine metabolism
K00602	map00670	One carbon pool by folate
K00603	map00670	One carbon pool by folate
K00604	map00970	Aminoacyl-tRNA biosynthesis
K00605	map00910	Nitrogen metabolism
K00606	map00770	Pantothenate and CoA biosynthesis
K00609	map00250	Alanine, aspartate and glutamate metabolism
K00610	map00250	Alanine, aspartate and glutamate metabolism
K00611	map00330	Arginine and proline metabolism
K00612	Unknown	Unknown
K00613	map00330	Arginine and proline metabolism
K00614	Unknown	Unknown
K00615	map01051	Pentose phosphate pathway
K00616	map00030	Pentose phosphate pathway
K00620	map00330	Arginine and proline metabolism
K00625	map00720	Citrate cycle (TCA cycle)
K00626	map02020	Two-component system
K00627	map00620	Pyruvate metabolism
K00631	map00564	Glycerophospholipid metabolism
K00633	Unknown	Unknown
K00634	map00650	Butanoate metabolism
K00638	Unknown	Unknown
K00639	map00260	Glycine, serine and threonine metabolism
K00640	map00920	Sulfur metabolism
K00641	map00920	Sulfur metabolism
K00645	map00061	Fatty acid biosynthesis
K00647	map00061	Fatty acid biosynthesis
K00648	map00061	Fatty acid biosynthesis
K00651	map00920	Sulfur metabolism
K00652	map00780	Biotin metabolism
K00654	map00600	Sphingolipid metabolism
K00655	map00564	Glycerophospholipid metabolism
K00656	map00650	Butanoate metabolism
K00657	map00330	Arginine and proline metabolism
K00658	map00310	Lysine degradation
K00661	Unknown	Unknown
K00662	Unknown	Unknown
K00663	Unknown	Unknown
K00666	Unknown	Unknown
K00667	map00061	Fatty acid biosynthesis
K00668	map00061	Fatty acid biosynthesis
K00670	Unknown	Unknown
K00674	map00300	Lysine biosynthesis
K00676	Unknown	Unknown
K00677	map00540	Lipopolysaccharide biosynthesis
K00679	map00561	Glycerolipid metabolism
K00680	map00903	Limonene and pinene degradation
K00681	map00590	Arachidonic acid metabolism
K00683	Unknown	Unknown
K00684	Unknown	Unknown
K00687	map00550	Peptidoglycan biosynthesis
K00688	map00500	Starch and sucrose metabolism
K00689	map02020	Two-component system
K00690	map00500	Starch and sucrose metabolism
K00691	map00500	Starch and sucrose metabolism
K00692	map02020	Two-component system
K00694	map00500	Starch and sucrose metabolism
K00697	map00500	Starch and sucrose metabolism
K00698	map00520	Amino sugar and nucleotide sugar metabolism
K00700	map00500	Starch and sucrose metabolism
K00701	Unknown	Unknown
K00703	map00500	Starch and sucrose metabolism
K00705	map00500	Starch and sucrose metabolism
K00706	map00500	Starch and sucrose metabolism
K00712	Unknown	Unknown
K00721	map00510	N-Glycan biosynthesis
K00743	map00601	Glycosphingolipid biosynthesis - lacto and neolacto series
K00745	Unknown	Unknown
K00748	map00540	Lipopolysaccharide biosynthesis
K00754	map00051	Fructose and mannose metabolism
K00756	map00240	Pyrimidine metabolism
K00757	map00240	Pyrimidine metabolism
K00758	map05219	Bladder cancer
K00759	map00230	Purine metabolism
K00760	map00983	Drug metabolism - other enzymes
K00761	map00240	Pyrimidine metabolism
K00762	map00240	Pyrimidine metabolism
K00763	map00760	Nicotinate and nicotinamide metabolism
K00764	map00250	Alanine, aspartate and glutamate metabolism
K00765	map00340	Histidine metabolism
K00766	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00767	map00760	Nicotinate and nicotinamide metabolism
K00768	map00860	Porphyrin and chlorophyll metabolism
K00769	map00230	Purine metabolism
K00772	map00270	Cysteine and methionine metabolism
K00773	Unknown	Unknown
K00777	Unknown	Unknown
K00782	Unknown	Unknown
K00783	Unknown	Unknown
K00784	map03013	RNA transport
K00786	Unknown	Unknown
K00788	map00730	Thiamine metabolism
K00789	map00270	Cysteine and methionine metabolism
K00790	map00550	Peptidoglycan biosynthesis
K00791	map00908	Zeatin biosynthesis
K00793	map00740	Riboflavin metabolism
K00794	map00740	Riboflavin metabolism
K00795	map00900	Terpenoid backbone biosynthesis
K00796	map00790	Folate biosynthesis
K00797	map00480	Glutathione metabolism
K00798	map00860	Porphyrin and chlorophyll metabolism
K00799	map00982	Drug metabolism - cytochrome P450
K00800	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00803	map04146	Peroxisome
K00805	map00900	Terpenoid backbone biosynthesis
K00806	map00900	Terpenoid backbone biosynthesis
K00809	Unknown	Unknown
K00811	map00960	Alanine aspartate and glutamate metabolism
K00812	map00960	Alanine aspartate and glutamate metabolism
K00813	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
K00817	map00960	Histidine metabolism
K00818	map00330	Arginine and proline metabolism
K00820	map00520	Amino sugar and nucleotide sugar metabolism
K00821	map00330	Arginine and proline metabolism
K00823	map00650	Butanoate metabolism
K00824	map00473	D-Alanine metabolism
K00826	map00770	Pantothenate and CoA biosynthesis
K00831	map00750	Vitamin B6 metabolism
K00832	map00960	Phenylalanine tyrosine and tryptophan metabolism
K00833	map00780	Biotin metabolism
K00835	map00290	Valine, leucine and isoleucine biosynthesis
K00837	Unknown	Unknown
K00838	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
K00839	Unknown	Unknown
K00841	map00300	Lysine biosynthesis
K00842	Unknown	Unknown
K00844	map04973	Carbohydrate digestion and absorption
K00845	map00524	Butirosin and neomycin biosynthesis
K00847	map00520	Amino sugar and nucleotide sugar metabolism
K00848	map00051	Fructose and mannose metabolism
K00849	map00520	Amino sugar and nucleotide sugar metabolism
K00850	map00680	Glycolysis / Gluconeogenesis
K00851	map00030	Pentose phosphate pathway
K00852	map00030	Pentose phosphate pathway
K00853	map00040	Pentose and glucuronate interconversions
K00854	map00040	Pentose and glucuronate interconversions
K00856	map00230	Purine metabolism
K00857	map00983	Drug metabolism - other enzymes
K00858	map00760	Nicotinate and nicotinamide metabolism
K00859	map00770	Pantothenate and CoA biosynthesis
K00861	map00740	Riboflavin metabolism
K00863	map04622	RIG-I-like receptor signaling pathway
K00864	map04626	Glycerolipid metabolism
K00865	map00680	Methane metabolism
K00867	map00770	Pantothenate and CoA biosynthesis
K00868	map00750	Vitamin B6 metabolism
K00869	map04146	Terpenoid biosynthesis
K00870	Unknown	Unknown
K00872	map00260	Glycine, serine and threonine metabolism
K00873	map04930	Glycolysis / Gluconeogenesis
K00874	map00040	Pentose and glucuronate interconversions
K00876	map00983	Drug metabolism - other enzymes
K00877	map00730	Thiamine metabolism
K00878	map00730	Thiamine metabolism
K00879	map00051	Fructose and mannose metabolism
K00880	map00053	Ascorbate and aldarate metabolism
K00881	Unknown	Unknown
K00882	map00051	Fructose and mannose metabolism
K00884	map00520	Amino sugar and nucleotide sugar metabolism
K00886	map00520	Amino sugar and nucleotide sugar metabolism
K00889	map04810	Regulation of actin cytoskeleton
K00891	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00895	map00051	Fructose and mannose metabolism
K00897	Unknown	Unknown
K00899	map00270	Cysteine and methionine metabolism
K00901	map04070	Phosphatidylinositol signaling system
K00903	map00543	Exopolysaccharide biosynthesis
K00904	map00230	Purine metabolism
K00907	map04971	Gastric acid secretion
K00908	Unknown	Unknown
K00912	map00540	Lipopolysaccharide biosynthesis
K00917	map00052	Galactose metabolism
K00919	map00900	Terpenoid backbone biosynthesis
K00921	map04810	Regulation of actin cytoskeleton
K00924	Unknown	Unknown
K00925	map00720	Citrate cycle (TCA cycle)
K00926	map00910	Nitrogen metabolism
K00927	map00710	Glycolysis / Gluconeogenesis
K00928	map00300	Lysine biosynthesis
K00929	map00650	Butanoate metabolism
K00930	map00330	Arginine and proline metabolism
K00931	map00330	Arginine and proline metabolism
K00936	Unknown	Unknown
K00937	map03018	RNA degradation
K00938	map00900	Terpenoid backbone biosynthesis
K00939	map00230	Purine metabolism
K00940	map00240	Pyrimidine metabolism
K00941	map00730	Thiamine metabolism
K00942	map00230	Purine metabolism
K00943	map00240	Pyrimidine metabolism
K00945	map00240	Pyrimidine metabolism
K00946	map00730	Thiamine metabolism
K00947	Unknown	Unknown
K00948	map00230	Purine metabolism
K00949	map00730	Thiamine metabolism
K00950	map00790	Folate biosynthesis
K00951	map00230	Purine metabolism
K00954	map00770	Pantothenate and CoA biosynthesis
K00957	map00920	Sulfur metabolism
K00961	Unknown	Unknown
K00962	map03018	RNA degradation
K00963	map00520	Amino sugar and nucleotide sugar metabolism
K00965	map00520	Amino sugar and nucleotide sugar metabolism
K00966	map00520	Amino sugar and nucleotide sugar metabolism
K00968	map00564	Glycerophospholipid metabolism
K00969	map00760	Nicotinate and nicotinamide metabolism
K00970	map03018	RNA degradation
K00971	map00520	Amino sugar and nucleotide sugar metabolism
K00972	map00520	Amino sugar and nucleotide sugar metabolism
K00973	map00523	Polyketide sugar unit biosynthesis
K00974	map03013	RNA transport
K00975	map00520	Amino sugar and nucleotide sugar metabolism
K00978	map00520	Amino sugar and nucleotide sugar metabolism
K00979	map00540	Lipopolysaccharide biosynthesis
K00980	map00564	Glycerophospholipid metabolism
K00981	map04070	Glycerophospholipid metabolism
K00982	Unknown	Unknown
K00983	map00520	Amino sugar and nucleotide sugar metabolism
K00985	map00230	Purine metabolism
K00986	Unknown	Unknown
K00989	Unknown	Unknown
K00990	map02020	Two-component system
K00991	map00900	Terpenoid backbone biosynthesis
K00992	Unknown	Unknown
K00995	map00564	Glycerophospholipid metabolism
K00996	Unknown	Unknown
K00997	map00770	Pantothenate and CoA biosynthesis
K00998	map00564	Glycerophospholipid metabolism
K01000	map00550	Peptidoglycan biosynthesis
K01002	map00561	Glycerolipid metabolism
K01004	map00564	Glycerophospholipid metabolism
K01005	map00552	Teichoic acid biosynthesis
K01006	map00710	Pyruvate metabolism
K01007	map00720	Pyruvate metabolism
K01008	map00450	Selenocompound metabolism
K01011	map04122	Sulfur relay system
K01012	map00780	Biotin metabolism
K01023	Unknown	Unknown
K01026	map00643	Styrene degradation
K01029	map00650	Butanoate metabolism
K01034	map02020	Two-component system
K01036	Unknown	Unknown
K01039	map00650	Butanoate metabolism
K01040	map00650	Butanoate metabolism
K01041	map00626	Naphthalene degradation
K01042	map00970	Aminoacyl-tRNA biosynthesis
K01043	Unknown	Unknown
K01044	map00983	Drug metabolism - other enzymes
K01046	map00561	Glycerolipid metabolism
K01048	map00564	Glycerophospholipid metabolism
K01051	map00500	Starch and sucrose metabolism
K01055	map00362	Benzoate degradation
K01056	Unknown	Unknown
K01057	map00030	Pentose phosphate pathway
K01060	map00311	Penicillin and cephalosporin biosynthesis
K01062	map00565	Ether lipid metabolism
K01066	map00960	Unknown
K01067	map00620	Pyruvate metabolism
K01069	map00620	Pyruvate metabolism
K01070	map00680	Methane metabolism
K01071	map00061	Fatty acid biosynthesis
K01073	Unknown	Unknown
K01076	map01040	Biosynthesis of unsaturated fatty acids
K01077	map02020	Two-component system
K01078	map05152	Tuberculosis
K01079	map00680	Glycine serine and threonine metabolism
K01081	map00760	Nicotinate and nicotinamide metabolism
K01085	map00010	Glycolysis / Gluconeogenesis
K01087	map00500	Starch and sucrose metabolism
K01090	Unknown	Unknown
K01091	map00630	Glyoxylate and dicarboxylate metabolism
K01092	map04070	Phosphatidylinositol signaling system
K01095	map00564	Glycerophospholipid metabolism
K01096	map00564	Glycerophospholipid metabolism
K01101	map00627	Aminobenzoate degradation
K01103	map00051	Fructose and mannose metabolism
K01104	Unknown	Unknown
K01112	map00051	Fructose and mannose metabolism
K01113	map02020	Two-component system
K01115	map04912	GnRH signaling pathway
K01118	Unknown	Unknown
K01119	map00240	Pyrimidine metabolism
K01121	Unknown	Unknown
K01126	map00564	Glycerophospholipid metabolism
K01128	Unknown	Unknown
K01129	map00230	Purine metabolism
K01130	map00600	Sphingolipid metabolism
K01133	Unknown	Unknown
K01134	map04142	Lysosome
K01136	map04142	Lysosome
K01137	map04142	Lysosome
K01138	Unknown	Unknown
K01139	map00230	Purine metabolism
K01141	map03430	Mismatch repair
K01142	map03410	Base excision repair
K01143	Unknown	Unknown
K01144	Unknown	Unknown
K01147	Unknown	Unknown
K01150	Unknown	Unknown
K01151	map03410	Base excision repair
K01152	Unknown	Unknown
K01153	Unknown	Unknown
K01154	Unknown	Unknown
K01155	Unknown	Unknown
K01156	Unknown	Unknown
K01157	Unknown	Unknown
K01159	map03440	Homologous recombination
K01163	Unknown	Unknown
K01170	Unknown	Unknown
K01173	map04210	Apoptosis
K01174	Unknown	Unknown
K01175	Unknown	Unknown
K01176	map04973	Carbohydrate digestion and absorption
K01179	map00500	Starch and sucrose metabolism
K01181	Unknown	Unknown
K01182	map00500	Starch and sucrose metabolism
K01183	map00520	Amino sugar and nucleotide sugar metabolism
K01185	Unknown	Unknown
K01186	map04142	Sialidase activity
K01187	map00500	Starch and sucrose metabolism
K01188	map00940	Phenylpropanoid biosynthesis
K01190	map00600	Sphingolipid metabolism
K01191	map00511	Other glycan degradation
K01192	map04142	Lysosome
K01193	map00500	Starch and sucrose metabolism
K01194	map00500	Starch and sucrose metabolism
K01195	map04142	Pentose and glucuronate interconversions
K01197	map00531	Glycosaminoglycan degradation
K01198	map00520	Amino sugar and nucleotide sugar metabolism
K01200	Unknown	Unknown
K01201	map04142	Lysosome
K01205	map04142	Lysosome
K01206	map00511	Other glycan degradation
K01207	map00520	Amino sugar and nucleotide sugar metabolism
K01208	map00500	Starch and sucrose metabolism
K01209	map00520	Amino sugar and nucleotide sugar metabolism
K01210	map00500	Starch and sucrose metabolism
K01212	map00500	Starch and sucrose metabolism
K01215	Unknown	Unknown
K01216	Unknown	Unknown
K01218	map00051	Fructose and mannose metabolism
K01220	map00052	Galactose metabolism
K01222	map00010	Glycolysis / Gluconeogenesis
K01223	map00010	Glycolysis / Gluconeogenesis
K01225	map00500	Starch and sucrose metabolism
K01226	map00500	Starch and sucrose metabolism
K01227	map00511	Other glycan degradation
K01228	map04141	Protein processing in endoplasmic reticulum
K01232	map00500	Starch and sucrose metabolism
K01234	Unknown	Unknown
K01238	Unknown	Unknown
K01239	map00760	Nicotinate and nicotinamide metabolism
K01241	map00230	Purine metabolism
K01243	map00270	Cysteine and methionine metabolism
K01246	map03410	Base excision repair
K01247	map03410	Base excision repair
K01249	Unknown	Unknown
K01250	Unknown	Unknown
K01251	map00270	Cysteine and methionine metabolism
K01253	map04976	Bile secretion
K01255	map00480	Glutathione metabolism
K01256	map00480	Glutathione metabolism
K01258	Unknown	Unknown
K01259	map00330	Arginine and proline metabolism
K01261	Unknown	Unknown
K01262	Unknown	Unknown
K01263	Unknown	Unknown
K01265	Unknown	Unknown
K01266	Unknown	Unknown
K01267	Unknown	Unknown
K01268	Unknown	Unknown
K01269	Unknown	Unknown
K01270	map00480	Glutathione metabolism
K01271	Unknown	Unknown
K01273	Unknown	Unknown
K01274	Unknown	Unknown
K01277	Unknown	Unknown
K01278	map04974	Protein digestion and absorption
K01281	Unknown	Unknown
K01284	Unknown	Unknown
K01286	Unknown	Unknown
K01289	Unknown	Unknown
K01295	Unknown	Unknown
K01297	Unknown	Unknown
K01299	Unknown	Unknown
K01301	Unknown	Unknown
K01303	Unknown	Unknown
K01304	Unknown	Unknown
K01305	Unknown	Unknown
K01308	Unknown	Unknown
K01322	Unknown	Unknown
K01337	Unknown	Unknown
K01338	map04112	Lon protease
K01342	Unknown	Unknown
K01354	map05143	African trypanosomiasis
K01356	Unknown	DNA damage repair
K01358	map04112	Clp-dependent proteolysis
K01361	Unknown	Unknown
K01362	Unknown	Unknown
K01364	Unknown	Unknown
K01369	map04612	Antigen processing and presentation
K01372	Unknown	Unknown
K01376	Unknown	Unknown
K01389	map05010	Alzheimer's disease
K01390	Unknown	Unknown
K01400	Unknown	Unknown
K01407	Unknown	Unknown
K01408	map05010	Alzheimer's disease
K01409	Unknown	Unknown
K01410	Unknown	Unknown
K01412	Unknown	Unknown
K01414	Unknown	Unknown
K01417	Unknown	Unknown
K01419	Unknown	Unknown
K01420	Unknown	Unknown
K01421	Unknown	Unknown
K01422	Unknown	Unknown
K01423	map00780	Biotin metabolism
K01424	map00910	Nitrogen metabolism
K01425	map04964	Proximal tubule bicarbonate reclamation
K01426	map00643	Styrene degradation
K01428	map05120	Urease activity
K01429	map00791	Atrazine degradation
K01430	map00791	Atrazine degradation
K01433	map00670	One carbon pool by folate
K01436	Unknown	Unknown
K01438	map00330	Arginine and proline metabolism
K01439	map00300	Lysine biosynthesis
K01442	map00121	Secondary bile acid biosynthesis
K01443	map00520	Amino sugar and nucleotide sugar metabolism
K01444	map04142	Lysosome
K01446	Unknown	Unknown
K01447	Unknown	Unknown
K01448	Unknown	Unknown
K01451	map00360	Phenylalanine metabolism
K01452	map00520	Amino sugar and nucleotide sugar metabolism
K01453	Unknown	Unknown
K01454	Unknown	Unknown
K01455	map00910	Nitrogen metabolism
K01457	map00791	Atrazine degradation
K01462	Unknown	Unknown
K01463	Unknown	Unknown
K01464	map00983	Drug metabolism - other enzymes
K01465	map00240	Pyrimidine metabolism
K01466	map00230	Purine metabolism
K01467	map02020	Two-component system
K01468	map00340	Histidine metabolism
K01470	map00330	Arginine and proline metabolism
K01473	map00330	Arginine and proline metabolism
K01474	map00330	Arginine and proline metabolism
K01476	map05146	Amoebiasis
K01478	map00330	Arginine and proline metabolism
K01479	map00340	Histidine metabolism
K01480	map00330	Arginine and proline metabolism
K01482	Unknown	Unknown
K01483	map00230	Purine metabolism
K01485	map00330	Arginine and proline metabolism
K01486	map00230	Purine metabolism
K01487	map00230	Purine metabolism
K01488	map05340	Purine metabolism
K01489	map00983	Drug metabolism - other enzymes
K01490	map00230	Purine metabolism
K01491	map00720	One carbon pool by folate
K01492	map00230	Purine metabolism
K01493	map00240	Pyrimidine metabolism
K01494	map00240	Pyrimidine metabolism
K01495	map00790	Folate biosynthesis
K01496	map00340	Histidine metabolism
K01500	map00791	Atrazine degradation
K01501	map00910	Nitrogen metabolism
K01507	map00190	Oxidative phosphorylation
K01509	map00230	Purine metabolism
K01512	map00627	Aminobenzoate degradation
K01514	map00230	Purine metabolism
K01515	map00230	Purine metabolism
