ko	map	pathway
K00602	map00670	One carbon pool by folate
K00604	map00970	Aminoacyl-tRNA biosynthesis
K00605	map00910	Nitrogen metabolism
K00606	map00770	Pantothenate and CoA biosynthesis
K00609	map00250	Alanine, aspartate and glutamate metabolism
K00610	map00250	Alanine, aspartate and glutamate metabolism
K00611	map00330	Arginine and proline metabolism
K00613	map00330	Arginine and proline metabolism
K00614	Unknown	Unknown
K00615	map01051	Pentose phosphate pathway
K00616	map00030	Pentose phosphate pathway
K00620	map00330	Arginine and proline metabolism
K00625	map00720	Citrate cycle (TCA cycle)
K00626	map02020	Two-component system
K00627	map00620	Pyruvate metabolism
K00634	map00650	Butanoate metabolism
K00639	map00260	Glycine, serine and threonine metabolism
K00640	map00920	Sulfur metabolism
K00645	map00061	Fatty acid biosynthesis
K00647	map00061	Fatty acid biosynthesis
K00648	map00061	Fatty acid biosynthesis
K00651	map00920	Sulfur metabolism
K00652	map00780	Biotin metabolism
K00655	map00564	Glycerophospholipid metabolism
K00656	map00650	Butanoate metabolism
K00674	map00300	Lysine biosynthesis
K00677	map00540	Lipopolysaccharide biosynthesis
K00680	map00903	Limonene and pinene degradation
K00687	map00550	Peptidoglycan biosynthesis
K00688	map00500	Starch and sucrose metabolism
K00689	map02020	Two-component system
K00691	map00500	Starch and sucrose metabolism
K00700	map00500	Starch and sucrose metabolism
K00701	Unknown	Unknown
K00703	map00500	Starch and sucrose metabolism
K00705	map00500	Starch and sucrose metabolism
K00721	map00510	N-Glycan biosynthesis
K00745	Unknown	Unknown
K00748	map00540	Lipopolysaccharide biosynthesis
K00754	map00051	Fructose and mannose metabolism
K00756	map00240	Pyrimidine metabolism
K00757	map00240	Pyrimidine metabolism
K00759	map00230	Purine metabolism
K00760	map00983	Drug metabolism - other enzymes
K00761	map00240	Pyrimidine metabolism
K00762	map00240	Pyrimidine metabolism
K00763	map00760	Nicotinate and nicotinamide metabolism
K00764	map00250	Alanine, aspartate and glutamate metabolism
K00766	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00767	map00760	Nicotinate and nicotinamide metabolism
K00768	map00860	Porphyrin and chlorophyll metabolism
K00772	map00270	Cysteine and methionine metabolism
K00773	Unknown	Unknown
K00777	Unknown	Unknown
K00782	Unknown	Unknown
K00783	Unknown	Unknown
K00784	map03013	RNA transport
K00786	Unknown	Unknown
K00788	map00730	Thiamine metabolism
K00789	map00270	Cysteine and methionine metabolism
K00790	map00550	Peptidoglycan biosynthesis
K00791	map00908	Zeatin biosynthesis
K00793	map00740	Riboflavin metabolism
K00794	map00740	Riboflavin metabolism
K00796	map00790	Folate biosynthesis
K00797	map00480	Glutathione metabolism
K00798	map00860	Porphyrin and chlorophyll metabolism
K00800	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00805	map00900	Terpenoid backbone biosynthesis
K00806	map00900	Terpenoid backbone biosynthesis
K00811	map00960	Alanine aspartate and glutamate metabolism
K00812	map00960	Alanine aspartate and glutamate metabolism
K00817	map00960	Histidine metabolism
K00818	map00330	Arginine and proline metabolism
K00820	map00520	Amino sugar and nucleotide sugar metabolism
K00826	map00770	Pantothenate and CoA biosynthesis
K00831	map00750	Vitamin B6 metabolism
K00832	map00960	Phenylalanine tyrosine and tryptophan metabolism
K00833	map00780	Biotin metabolism
K00837	Unknown	Unknown
K00841	map00300	Lysine biosynthesis
K00844	map04973	Carbohydrate digestion and absorption
K00845	map00524	Butirosin and neomycin biosynthesis
K00847	map00520	Amino sugar and nucleotide sugar metabolism
K00849	map00520	Amino sugar and nucleotide sugar metabolism
K00850	map00680	Glycolysis / Gluconeogenesis
K00851	map00030	Pentose phosphate pathway
K00852	map00030	Pentose phosphate pathway
K00854	map00040	Pentose and glucuronate interconversions
K00857	map00983	Drug metabolism - other enzymes
K00858	map00760	Nicotinate and nicotinamide metabolism
K00859	map00770	Pantothenate and CoA biosynthesis
K00863	map04622	RIG-I-like receptor signaling pathway
K00864	map04626	Glycerolipid metabolism
K00867	map00770	Pantothenate and CoA biosynthesis
K00868	map00750	Vitamin B6 metabolism
K00869	map04146	Terpenoid biosynthesis
K00872	map00260	Glycine, serine and threonine metabolism
K00873	map04930	Glycolysis / Gluconeogenesis
K00876	map00983	Drug metabolism - other enzymes
K00878	map00730	Thiamine metabolism
K00882	map00051	Fructose and mannose metabolism
K00884	map00520	Amino sugar and nucleotide sugar metabolism
K00886	map00520	Amino sugar and nucleotide sugar metabolism
K00889	map04810	Regulation of actin cytoskeleton
K00891	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00895	map00051	Fructose and mannose metabolism
K00903	map00543	Exopolysaccharide biosynthesis
K00904	map00230	Purine metabolism
K00912	map00540	Lipopolysaccharide biosynthesis
K00919	map00900	Terpenoid backbone biosynthesis
K00924	Unknown	Unknown
K00925	map00720	Citrate cycle (TCA cycle)
K00926	map00910	Nitrogen metabolism
K00927	map00710	Glycolysis / Gluconeogenesis
K00928	map00300	Lysine biosynthesis
K00929	map00650	Butanoate metabolism
K00931	map00330	Arginine and proline metabolism
K00936	Unknown	Unknown
K00937	map03018	RNA degradation
K00938	map00900	Terpenoid backbone biosynthesis
K00939	map00230	Purine metabolism
K00941	map00730	Thiamine metabolism
K00942	map00230	Purine metabolism
K00943	map00240	Pyrimidine metabolism
K00945	map00240	Pyrimidine metabolism
K00946	map00730	Thiamine metabolism
K00948	map00230	Purine metabolism
K00949	map00730	Thiamine metabolism
K00950	map00790	Folate biosynthesis
K00951	map00230	Purine metabolism
K00954	map00770	Pantothenate and CoA biosynthesis
K00962	map03018	RNA degradation
K00963	map00520	Amino sugar and nucleotide sugar metabolism
K00965	map00520	Amino sugar and nucleotide sugar metabolism
K00969	map00760	Nicotinate and nicotinamide metabolism
K00970	map03018	RNA degradation
K00971	map00520	Amino sugar and nucleotide sugar metabolism
K00973	map00523	Polyketide sugar unit biosynthesis
K00974	map03013	RNA transport
K00975	map00520	Amino sugar and nucleotide sugar metabolism
K00979	map00540	Lipopolysaccharide biosynthesis
K00980	map00564	Glycerophospholipid metabolism
K00981	map04070	Glycerophospholipid metabolism
K00982	Unknown	Unknown
K00985	map00230	Purine metabolism
K00986	Unknown	Unknown
K00989	Unknown	Unknown
K00991	map00900	Terpenoid backbone biosynthesis
K00995	map00564	Glycerophospholipid metabolism
K00997	map00770	Pantothenate and CoA biosynthesis
K00998	map00564	Glycerophospholipid metabolism
K01000	map00550	Peptidoglycan biosynthesis
K01002	map00561	Glycerolipid metabolism
K01005	map00552	Teichoic acid biosynthesis
K01006	map00710	Pyruvate metabolism
K01007	map00720	Pyruvate metabolism
K01012	map00780	Biotin metabolism
K01026	map00643	Styrene degradation
K01040	map00650	Butanoate metabolism
K01041	map00626	Naphthalene degradation
K01042	map00970	Aminoacyl-tRNA biosynthesis
K01043	Unknown	Unknown
K01056	Unknown	Unknown
K01057	map00030	Pentose phosphate pathway
K01066	map00960	Unknown
K01067	map00620	Pyruvate metabolism
K01069	map00620	Pyruvate metabolism
K01071	map00061	Fatty acid biosynthesis
K01077	map02020	Two-component system
K01078	map05152	Tuberculosis
K01079	map00680	Glycine serine and threonine metabolism
K01081	map00760	Nicotinate and nicotinamide metabolism
K01085	map00010	Glycolysis / Gluconeogenesis
K01090	Unknown	Unknown
K01091	map00630	Glyoxylate and dicarboxylate metabolism
K01092	map04070	Phosphatidylinositol signaling system
K01101	map00627	Aminobenzoate degradation
K01104	Unknown	Unknown
K01119	map00240	Pyrimidine metabolism
K01126	map00564	Glycerophospholipid metabolism
K01129	map00230	Purine metabolism
K01142	map03410	Base excision repair
K01144	Unknown	Unknown
K01153	Unknown	Unknown
K01154	Unknown	Unknown
K01155	Unknown	Unknown
K01156	Unknown	Unknown
K01159	map03440	Homologous recombination
K01163	Unknown	Unknown
K01173	map04210	Apoptosis
K01175	Unknown	Unknown
K01176	map04973	Carbohydrate digestion and absorption
K01179	map00500	Starch and sucrose metabolism
K01181	Unknown	Unknown
K01182	map00500	Starch and sucrose metabolism
K01185	Unknown	Unknown
K01186	map04142	Sialidase activity
K01187	map00500	Starch and sucrose metabolism
K01188	map00940	Phenylpropanoid biosynthesis
K01190	map00600	Sphingolipid metabolism
K01191	map00511	Other glycan degradation
K01195	map04142	Pentose and glucuronate interconversions
K01200	Unknown	Unknown
K01206	map00511	Other glycan degradation
K01207	map00520	Amino sugar and nucleotide sugar metabolism
K01208	map00500	Starch and sucrose metabolism
K01215	Unknown	Unknown
K01220	map00052	Galactose metabolism
K01227	map00511	Other glycan degradation
K01232	map00500	Starch and sucrose metabolism
K01234	Unknown	Unknown
K01238	Unknown	Unknown
K01239	map00760	Nicotinate and nicotinamide metabolism
K01243	map00270	Cysteine and methionine metabolism
K01251	map00270	Cysteine and methionine metabolism
K01255	map00480	Glutathione metabolism
K01256	map00480	Glutathione metabolism
K01258	Unknown	Unknown
K01259	map00330	Arginine and proline metabolism
K01262	Unknown	Unknown
K01265	Unknown	Unknown
K01267	Unknown	Unknown
K01269	Unknown	Unknown
K01270	map00480	Glutathione metabolism
K01271	Unknown	Unknown
K01273	Unknown	Unknown
K01274	Unknown	Unknown
K01277	Unknown	Unknown
K01278	map04974	Protein digestion and absorption
K01281	Unknown	Unknown
K01284	Unknown	Unknown
K01286	Unknown	Unknown
K01297	Unknown	Unknown
K01303	Unknown	Unknown
K01304	Unknown	Unknown
K01322	Unknown	Unknown
K01338	map04112	Lon protease
K01354	map05143	African trypanosomiasis
K01356	Unknown	DNA damage repair
K01358	map04112	Clp-dependent proteolysis
K01361	Unknown	Unknown
K01362	Unknown	Unknown
K01364	Unknown	Unknown
K01372	Unknown	Unknown
K01376	Unknown	Unknown
K01409	Unknown	Unknown
K01417	Unknown	Unknown
K01419	Unknown	Unknown
K01420	Unknown	Unknown
K01421	Unknown	Unknown
K01422	Unknown	Unknown
K01423	map00780	Biotin metabolism
K01424	map00910	Nitrogen metabolism
K01426	map00643	Styrene degradation
K01428	map05120	Urease activity
K01429	map00791	Atrazine degradation
K01430	map00791	Atrazine degradation
K01436	Unknown	Unknown
K01438	map00330	Arginine and proline metabolism
K01439	map00300	Lysine biosynthesis
K01443	map00520	Amino sugar and nucleotide sugar metabolism
K01446	Unknown	Unknown
K01447	Unknown	Unknown
K01448	Unknown	Unknown
K01451	map00360	Phenylalanine metabolism
K01452	map00520	Amino sugar and nucleotide sugar metabolism
K01462	Unknown	Unknown
K01463	Unknown	Unknown
K01465	map00240	Pyrimidine metabolism
K01466	map00230	Purine metabolism
K01467	map02020	Two-component system
K01468	map00340	Histidine metabolism
K01478	map00330	Arginine and proline metabolism
K01485	map00330	Arginine and proline metabolism
K01486	map00230	Purine metabolism
K01487	map00230	Purine metabolism
K01488	map05340	Purine metabolism
K01491	map00720	One carbon pool by folate
K01492	map00230	Purine metabolism
K01493	map00240	Pyrimidine metabolism
K01494	map00240	Pyrimidine metabolism
K01495	map00790	Folate biosynthesis
K01507	map00190	Oxidative phosphorylation
K01515	map00230	Purine metabolism
K01516	map00730	Thiamine metabolism
K01520	map00240	Pyrimidine metabolism
K01524	map00230	Purine metabolism
K01529	Unknown	Unknown
K01531	Unknown	Unknown
K01533	Unknown	Unknown
K01534	Unknown	Unknown
K01535	map00190	Oxidative phosphorylation
K01537	Unknown	Unknown
K01552	Unknown	Unknown
K01567	Unknown	Unknown
K01571	map00620	Pyruvate metabolism
K01577	map00630	Glyoxylate and dicarboxylate metabolism
K01579	map00770	Pantothenate and CoA biosynthesis
K01580	map04940	ABC transporters
K01581	map00480	Glutathione metabolism
K01582	map00960	Lys metabolism
K01585	map00330	Arginine and proline metabolism
K01586	map00300	Lysine biosynthesis
K01588	map00230	Purine metabolism
K01589	map00230	Purine metabolism
K01591	map00240	Pyrimidine metabolism
K01595	map00720	Pyruvate metabolism
K01597	map00900	Terpenoid backbone biosynthesis
K01610	map00710	Glycolysis / Gluconeogenesis
K01611	map00330	Arginine and proline metabolism
K01613	map00564	Glycerophospholipid metabolism
K01615	map00650	Butanoate metabolism
K01619	map00030	Pentose phosphate pathway
K01620	map00260	Glycine, serine and threonine metabolism
K01621	map00710	Pentose phosphate pathway
K01624	map00710	Glycolysis / Gluconeogenesis
K01625	map00630	Glyoxylate and dicarboxylate metabolism
K01626	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01627	map00540	Lipopolysaccharide biosynthesis
K01628	map00051	Fructose and mannose metabolism
K01632	map00710	Pentose phosphate pathway
K01633	map00790	Folate biosynthesis
K01635	map00052	Galactose metabolism
K01639	map00520	Amino sugar and nucleotide sugar metabolism
K01641	map00900	Terpenoid backbone biosynthesis
K01643	map02020	Two-component system
K01644	map02020	Two-component system
K01647	map00630	Glyoxylate and dicarboxylate metabolism
K01649	map00620	Pyruvate metabolism
K01652	map00770	Pantothenate and CoA biosynthesis
K01653	map00770	Pantothenate and CoA biosynthesis
K01657	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01661	map00130	Quinone biosynthesis
K01662	map00900	Terpenoid backbone biosynthesis
K01673	map00910	Nitrogen metabolism
K01676	map00720	Citrate cycle (TCA cycle)
K01679	map05211	Citrate cycle (TCA cycle)
K01681	map00720	Citrate cycle (TCA cycle)
K01684	map00052	Galactose metabolism
K01686	map00040	Pentose and glucuronate interconversions
K01687	map00770	Pantothenate and CoA biosynthesis
K01689	map03018	RNA degradation
K01696	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01698	map00860	Porphyrin and chlorophyll metabolism
K01703	map00660	C5-Branched dibasic acid metabolism
K01710	map01055	Biosynthesis of vancomycin group antibiotics
K01711	map00520	Amino sugar and nucleotide sugar metabolism
K01712	map00340	Histidine metabolism
K01713	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01714	map00300	Lysine biosynthesis
K01715	map00720	Fatty acid biosynthesis
K01719	map00860	Porphyrin and chlorophyll metabolism
K01726	map00903	Limonene and pinene degradation
K01727	Unknown	Unknown
K01733	map00750	Vitamin B6 metabolism
K01735	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01736	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01737	map00790	Folate biosynthesis
K01738	map00920	Sulfur metabolism
K01740	map00270	Cysteine and methionine metabolism
K01744	map00910	Nitrogen metabolism
K01745	map00910	Nitrogen metabolism
K01746	map00670	One carbon pool by folate
K01751	Unknown	Unknown
K01752	map00270	Cysteine and methionine metabolism
K01754	map00290	Valine, leucine and isoleucine biosynthesis
K01755	map00330	Arginine and proline metabolism
K01756	map00250	Alanine, aspartate and glutamate metabolism
K01758	map00910	Nitrogen metabolism
K01759	map04011	MAPK signaling pathway - yeast
K01761	map00450	Selenocompound metabolism
K01771	map00562	Inositol phosphate metabolism
K01772	map00860	Porphyrin metabolism
K01775	map00473	Alanine aspartate and glutamate metabolism
K01776	map00471	Alanine aspartate and glutamate metabolism
K01778	map00300	Lysine biosynthesis
K01779	map00250	Alanine, aspartate and glutamate metabolism
K01783	map00710	Pentose phosphate pathway
K01784	map00520	Amino sugar and nucleotide sugar metabolism
K01785	map00010	Glycolysis / Gluconeogenesis
K01786	map00040	Pentose and glucuronate interconversions
K01787	map00520	Amino sugar and nucleotide sugar metabolism
K01788	map00520	Amino sugar and nucleotide sugar metabolism
K01790	map00523	Polyketide sugar unit biosynthesis
K01791	map00520	Amino sugar and nucleotide sugar metabolism
K01795	Unknown	Unknown
K01802	Unknown	Unknown
K01803	map00710	Glycolysis / Gluconeogenesis
K01805	map00051	Fructose and mannose metabolism
K01807	map00710	Pentose phosphate pathway
K01808	map00710	Pentose phosphate pathway
K01809	map00520	Amino sugar and nucleotide sugar metabolism
K01810	map00520	Amino sugar and nucleotide sugar metabolism
K01812	map00040	Pentose and glucuronate interconversions
K01819	map00052	Galactose metabolism
K01823	map00900	Terpenoid backbone biosynthesis
K01826	map00362	Benzoate degradation
K01834	map00680	Glycolysis / Gluconeogenesis
K01835	map00521	Streptomycin biosynthesis
K01838	map00500	Starch and sucrose metabolism
K01839	map00230	Purine metabolism
K01840	map00520	Amino sugar and nucleotide sugar metabolism
K01847	map00720	Citrate cycle (TCA cycle)
K01848	map00720	Citrate cycle (TCA cycle)
K01854	Unknown	Unknown
K01858	map00562	Inositol phosphate metabolism
K01866	map00970	Aminoacyl-tRNA biosynthesis
K01867	map00970	Aminoacyl-tRNA biosynthesis
K01868	map00970	Aminoacyl-tRNA biosynthesis
K01869	map00970	Aminoacyl-tRNA biosynthesis
K01870	map00970	Aminoacyl-tRNA biosynthesis
K01872	map00970	Aminoacyl-tRNA biosynthesis
K01873	map00970	Aminoacyl-tRNA biosynthesis
K01874	map00970	Aminoacyl-tRNA biosynthesis
K01875	map00970	Aminoacyl-tRNA biosynthesis
K01876	map00970	Aminoacyl-tRNA biosynthesis
K01878	map00970	Aminoacyl-tRNA biosynthesis
K01879	map00970	Aminoacyl-tRNA biosynthesis
K01880	map00970	Aminoacyl-tRNA biosynthesis
K01881	map00970	Aminoacyl-tRNA biosynthesis
K01883	map00970	Aminoacyl-tRNA biosynthesis
K01885	map00970	Aminoacyl-tRNA biosynthesis
K01886	map00970	Aminoacyl-tRNA biosynthesis
K01887	map00970	Aminoacyl-tRNA biosynthesis
K01889	map00970	Aminoacyl-tRNA biosynthesis
K01890	map00970	Aminoacyl-tRNA biosynthesis
K01892	map00970	Aminoacyl-tRNA biosynthesis
K01893	map00970	Aminoacyl-tRNA biosynthesis
K01895	map00720	Citrate cycle (TCA cycle)
K01897	map04920	Adipocytokine signaling pathway
K01902	map00720	Citrate cycle (TCA cycle)
K01903	map00720	Citrate cycle (TCA cycle)
K01910	map02020	Two-component system
K01914	map00910	Nitrogen metabolism
K01915	map04724	Alanine aspartate and glutamate metabolism
K01916	map00910	Nitrogen metabolism
K01918	map00770	Pantothenate and CoA biosynthesis
K01921	map00550	Peptidoglycan biosynthesis
K01923	map00230	Purine metabolism
K01924	map00550	Peptidoglycan biosynthesis
K01925	map00550	Peptidoglycan biosynthesis
K01926	Unknown	Unknown
K01928	map00550	Peptidoglycan biosynthesis
K01929	map00550	Peptidoglycan biosynthesis
K01932	Unknown	Unknown
K01933	map00230	Purine metabolism
K01934	map00670	One carbon pool by folate
K01935	map00780	Biotin metabolism
K01937	map00240	Pyrimidine metabolism
K01938	map00720	One carbon pool by folate
K01939	map00250	Alanine, aspartate and glutamate metabolism
K01940	map00330	Arginine and proline metabolism
K01945	map00230	Purine metabolism
K01950	map00760	Nicotinate and nicotinamide metabolism
K01951	map00983	Drug metabolism - other enzymes
K01952	map00230	Purine metabolism
K01953	map00910	Nitrogen metabolism
K01955	map00250	Alanine, aspartate and glutamate metabolism
K01956	map00250	Alanine, aspartate and glutamate metabolism
K01958	map00620	Pyruvate metabolism
K01960	map00620	Pyruvate metabolism
K01966	map00720	Citrate cycle (TCA cycle)
K01972	map03430	Mismatch repair
K01989	Unknown	Unknown
K01990	Unknown	Unknown
K01991	Unknown	Unknown
K01992	Unknown	Unknown
K01993	Unknown	Unknown
K01995	map02010	ABC transporters
K01996	map02010	ABC transporters
K01997	map02010	ABC transporters
K01998	map02010	ABC transporters
K01999	map02010	ABC transporters
K02003	Unknown	Unknown
K02004	Unknown	Unknown
K02005	Unknown	Unknown
K02006	map02010	ABC transporters
K02008	map02010	ABC transporters
K02010	map02010	ABC transporters
K02011	map02010	ABC transporters
K02012	Unknown	Iron acquisition
K02013	map02010	ABC transporters
K02014	Unknown	Unknown
K02015	map02010	ABC transporters
K02016	map02010	ABC transporters
K02017	map02010	ABC transporters
K02019	Unknown	Unknown
K02023	Unknown	Unknown
K02025	Unknown	Unknown
K02026	Unknown	Unknown
K02027	Unknown	Unknown
K02028	Unknown	Unknown
K02029	Unknown	Unknown
K02030	Unknown	Unknown
K02031	map02010	ABC transporters
K02032	map02010	ABC transporters
K02033	map02010	ABC transporters
K02034	map02010	ABC transporters
K02035	map02010	ABC transporters
K02036	map02010	ABC transporters
K02037	map02010	ABC transporters
K02038	map02010	ABC transporters
K02039	Unknown	Unknown
K02040	map05152	Two-component system
K02041	map02010	ABC transporters
K02042	map02010	ABC transporters
K02044	map02010	ABC transporters
K02049	map02010	ABC transporters
K02050	map02010	ABC transporters
K02051	map02010	ABC transporters
K02056	Unknown	Unknown
K02057	Unknown	Unknown
K02058	Unknown	Unknown
K02065	Unknown	Unknown
K02066	Unknown	Unknown
K02067	Unknown	Unknown
K02071	map02010	ABC transporters
K02072	map02010	ABC transporters
K02073	map02010	ABC transporters
K02074	Unknown	Unknown
K02075	Unknown	Unknown
K02077	Unknown	Unknown
K02078	Unknown	Unknown
K02081	Unknown	Unknown
K02082	Unknown	Unknown
K02083	map00230	Purine metabolism
K02086	Unknown	Unknown
K02106	map02020	Two-component system
K02108	map00195	Photosynthesis
K02109	map00195	Photosynthesis
K02110	map00195	Photosynthesis
K02111	map00195	Photosynthesis
K02112	map00195	Photosynthesis
K02113	map00195	Photosynthesis
K02114	map00195	Photosynthesis
K02115	map00195	Photosynthesis
K02117	map00680	Oxidative phosphorylation
K02118	map00680	Oxidative phosphorylation
K02119	map00680	Oxidative phosphorylation
K02120	map00680	Oxidative phosphorylation
K02122	map00680	Oxidative phosphorylation
K02123	map00680	Oxidative phosphorylation
K02124	map00680	Oxidative phosphorylation
K02190	map00860	Porphyrin and chlorophyll metabolism
K02217	Unknown	Iron acquisition
K02221	Unknown	Unknown
K02224	map00860	Porphyrin and chlorophyll metabolism
K02227	map00860	Porphyrin and chlorophyll metabolism
K02230	map00860	Porphyrin and chlorophyll metabolism
K02232	map00860	Porphyrin and chlorophyll metabolism
K02234	map00860	Porphyrin and chlorophyll metabolism
K02237	Unknown	Extracellular DNA uptake
K02238	Unknown	Unknown
K02240	Unknown	Unknown
K02242	Unknown	Unknown
K02243	Unknown	Unknown
K02244	Unknown	Extracellular DNA uptake
K02248	Unknown	Extracellular DNA uptake
K02279	Unknown	Unknown
K02282	Unknown	Unknown
K02283	Unknown	Unknown
K02313	map04112	DNA replication
K02314	map04112	DNA replication
K02316	map03030	DNA replication
K02334	Unknown	Unknown
K02335	map03440	Homologous recombination
K02337	map03440	Homologous recombination
K02338	map03440	Homologous recombination
K02340	map03440	Homologous recombination
K02341	map03440	Homologous recombination
K02342	map03440	Homologous recombination
K02343	map03440	Homologous recombination
K02346	Unknown	Unknown
K02355	Unknown	Unknown
K02356	Unknown	Unknown
K02357	Unknown	Unknown
K02358	map04626	Translation
K02361	map01053	Biosynthesis of siderophore group nonribosomal peptides
K02372	map00061	Fatty acid biosynthesis
K02377	map00520	Amino sugar and nucleotide sugar metabolism
K02387	map02040	Flagellar assembly
K02388	map02040	Flagellar assembly
K02390	map02040	Flagellar assembly
K02392	map02040	Flagellar assembly
K02395	Unknown	Unknown
K02396	map02040	Flagellar assembly
K02397	map02040	Flagellar assembly
K02398	map02040	Flagellar assembly
K02400	map02040	Flagellar assembly
